Year,Month,Day,Hour,Minute,Area,R,Sp,G,Longitude,Latitude,L0,B0,P,q,Rot,Atl,Azm,x_sp,x_rot,y_sp,y_rot,z_sp,z_rot
1612,5,3,13,18,105,38.9,2,2,39.63,18.54,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,57.98,-415.43,505.94,294.54,631.18,631.18
1612,5,3,13,18,144,43.26,3,2,34.53,18.82,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,32.78,-470.44,554.87,296.03,590.57,590.57
1612,5,3,13,18,193,36.58,4,3,102.2,-26.05,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-104.9,362.92,-471.82,-319.23,651.23,651.23
1612,5,3,13,18,163,27.55,5,4,87.57,-26.66,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-191.42,190.46,-322.58,-323.15,719.04,719.04
1612,5,3,13,18,151,26.86,6,4,82.64,-28.29,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-239.37,127.77,-277.4,-343.4,723.51,723.51
1612,5,3,13,18,223,4.05,7,5,72.29,-7.34,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-50.45,-0.54,-27.12,-57.27,808.98,808.98
1612,5,3,13,18,94,7.69,8,5,67.68,-9.44,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-107.48,-64.81,14.87,-87.02,803.71,803.71
1612,5,3,13,18,130,34.94,9,6,50.49,-31.56,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-462.89,-257.08,38.9,-386.9,664.79,664.79
1612,5,3,13,18,58,36.87,10,6,46.22,-30.72,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-478.8,-306.85,86.94,-377.69,648.78,648.78
1612,5,3,13,18,263,54.24,11,7,18.05,-1.76,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-315.01,-658.09,577.8,2.31,473.96,473.96
1612,5,3,13,18,260,56.77,12,7,15.56,-1.04,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-317.3,-678.27,599.57,10.79,444.47,444.47
1612,5,3,13,18,314,56.27,13,7,15.95,-3.4,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-344.33,-674.13,579.99,-22.33,450.3,450.3
1612,5,3,13,18,412,63.83,14,8,8.35,-4.48,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-387.61,-726.57,616.04,-42.88,357.73,357.73
1612,5,3,13,18,373,66.2,15,8,5.91,-7.58,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-432.3,-736.77,603.11,-88.28,327.26,327.26
1612,5,3,13,18,684,71.03,16,9,1.44,-21.59,72.33,-3.29,-24.02,37.19,-61.2,51.38,233.63,-591.88,-712.57,487.76,-283.69,263.6,263.6
1612,5,4,NaN,NaN,2999,33.71,1,1,85.59,16.11,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,345.33,365.44,-288.62,262.71,674.66,674.66
1612,5,4,NaN,NaN,56,31.61,2,2,37.11,21.25,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,256.31,-264.77,339.17,332.61,690.64,690.64
1612,5,4,NaN,NaN,74,34.06,3,2,33.98,21.84,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,253.65,-301.82,376.73,339.37,671.9,671.9
1612,5,4,NaN,NaN,163,43.96,4,3,99.03,-20.75,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,-122.63,501.66,-549.42,-255.41,583.8,583.8
1612,5,4,NaN,NaN,175,35.57,5,4,85.34,-26.88,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,-236.63,336.46,-408.13,-330.7,659.66,659.66
1612,5,4,NaN,NaN,66,36.02,6,4,83.18,-29.84,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,-280.84,303.48,-385.43,-367.87,655.97,655.97
1612,5,4,NaN,NaN,123,16.17,7,5,73.57,-6.13,NaN,NaN,NaN,NaN,-75.6,NaN,NaN,12.83,221.56,-225.46,-43.64,778.93,778.93
