Year,Lat,Obs
1633.253,0.230,Gassendi
1633.253,2.203,Gassendi
1633.253,0.175,Gassendi
1633.253,-13.607,Gassendi
1633.253,-13.777,Gassendi
1633.253,-13.551,Gassendi
1633.272,-0.711,Gassendi
1633.272,-0.061,Gassendi
1633.272,-0.198,Gassendi
1633.275,-0.771,Gassendi
1633.275,-1.548,Gassendi
1633.275,-2.140,Gassendi
1633.275,3.724,Gassendi
1633.275,-8.984,Gassendi
1633.275,-9.563,Gassendi
1633.275,-1.304,Gassendi
1633.275,-0.194,Gassendi
1633.277,-1.353,Gassendi
1633.277,-1.875,Gassendi
1633.277,-2.341,Gassendi
1633.277,5.208,Gassendi
1633.277,2.560,Gassendi
1633.277,-0.998,Gassendi
1633.277,2.654,Gassendi
1633.277,7.390,Gassendi
1633.280,0.107,Gassendi
1633.280,-0.897,Gassendi
1633.280,-1.964,Gassendi
1633.283,-0.358,Gassendi
1634.818,2.666,Gassendi
1634.818,-0.933,Gassendi
1634.821,-2.157,Gassendi
1634.821,2.139,Gassendi
1634.821,-0.325,Gassendi
1634.821,3.397,Gassendi
1634.821,2.857,Gassendi
1634.824,-2.142,Gassendi
1634.824,-5.755,Gassendi
1634.824,-3.270,Gassendi
1634.824,1.072,Gassendi
1634.827,-2.351,Gassendi
1634.827,1.962,Gassendi
1634.829,-3.336,Gassendi
1634.829,2.323,Gassendi
1634.829,-1.126,Gassendi
1634.832,-3.973,Gassendi
1634.832,-1.556,Gassendi
1634.832,2.453,Gassendi
1634.835,-3.869,Gassendi
1634.835,-1.367,Gassendi
1634.835,2.301,Gassendi
1634.836,-3.121,Gassendi
1634.836,-0.657,Gassendi
1634.899,0.687,Gassendi
1634.899,4.645,Gassendi
1634.899,1.618,Gassendi
1634.899,-1.576,Gassendi
1634.899,0.938,Gassendi
1634.902,1.288,Gassendi
1634.902,-0.512,Gassendi
1634.902,-3.712,Gassendi
1634.902,-2.625,Gassendi
1634.905,0.795,Gassendi
1634.905,-2.460,Gassendi
1634.905,1.886,Gassendi
1634.905,3.763,Gassendi
1634.905,-0.118,Gassendi
1634.905,10.426,Gassendi
1634.905,12.774,Gassendi
1634.907,2.977,Gassendi
1634.907,-0.582,Gassendi
1634.907,10.247,Gassendi
1634.907,11.064,Gassendi
1634.910,2.383,Gassendi
1634.910,10.616,Gassendi
1634.910,11.168,Gassendi
1634.913,1.560,Gassendi
1634.913,2.498,Gassendi
1634.915,0.577,Gassendi
1634.919,-0.054,Gassendi
1634.971,-12.675,Gassendi
1634.977,-12.665,Gassendi
1634.977,-12.659,Gassendi
1634.977,-13.363,Gassendi
1634.977,-8.290,Gassendi
1634.980,-13.360,Gassendi
1634.980,-11.312,Gassendi
1634.980,-10.958,Gassendi
1634.980,-15.218,Gassendi
1634.985,-15.339,Gassendi
1635.030,-8.695,Gassendi
1635.030,-10.170,Gassendi
1635.030,-9.995,Gassendi
1635.033,-10.635,Gassendi
1635.033,-10.254,Gassendi
1635.036,-10.573,Gassendi
1635.036,-7.630,Gassendi
1635.038,-8.063,Gassendi
1635.038,-5.870,Gassendi
1635.038,-10.824,Gassendi
1635.038,-21.246,Gassendi
1635.038,-19.884,Gassendi
1635.038,-20.236,Gassendi
1635.041,-7.552,Gassendi
1635.041,-5.830,Gassendi
1635.041,-9.724,Gassendi
1635.041,-20.105,Gassendi
1635.041,-20.112,Gassendi
1635.041,-19.625,Gassendi
1635.041,-20.178,Gassendi
1635.044,-7.354,Gassendi
1635.044,-5.190,Gassendi
1635.044,-9.309,Gassendi
1635.044,-19.557,Gassendi
1635.044,-19.480,Gassendi
1635.044,-21.871,Gassendi
1635.044,-19.637,Gassendi
1635.047,-9.681,Gassendi
1635.047,-7.524,Gassendi
1635.047,-20.240,Gassendi
1635.047,-19.476,Gassendi
1635.047,-19.308,Gassendi
1635.102,-15.520,Gassendi
1635.111,-14.867,Gassendi
1635.113,-13.343,Gassendi
1635.113,-15.556,Gassendi
1635.119,-14.471,Gassendi
1635.122,-14.034,Gassendi
1635.157,-21.892,Gassendi
1635.157,-24.126,Gassendi
1635.157,-26.611,Gassendi
1635.160,-22.068,Gassendi
1635.160,-23.830,Gassendi
1635.160,-27.691,Gassendi
1635.791,7.547,Gassendi
1635.791,8.477,Gassendi
1635.791,10.165,Gassendi
1635.802,10.015,Gassendi
1638.832,2.703,Gassendi
1638.832,-3.056,Gassendi
1638.832,1.985,Gassendi
1638.835,1.177,Gassendi
1638.835,-7.370,Gassendi
1638.835,6.016,Gassendi
1638.835,1.592,Gassendi
1638.835,2.262,Gassendi
1638.836,3.611,Gassendi
1638.836,-2.492,Gassendi
1638.836,4.296,Gassendi
1638.836,3.946,Gassendi
1638.836,4.953,Gassendi
1618.189,-6.573,Malapert
1618.194,-5.752,Malapert
1618.200,-5.997,Malapert
1618.202,-6.060,Malapert
1618.205,-5.712,Malapert
1618.208,-5.946,Malapert
1618.216,-6.940,Malapert
1618.474,19.957,Malapert
1618.477,18.283,Malapert
1618.480,16.341,Malapert
1618.482,16.300,Malapert
1618.485,15.843,Malapert
1618.488,16.861,Malapert
1618.491,18.187,Malapert
1618.493,19.764,Malapert
1618.496,20.704,Malapert
1618.519,17.039,Malapert
1618.522,15.996,Malapert
1618.525,15.875,Malapert
1618.536,7.386,Malapert
1618.538,9.767,Malapert
1618.541,10.380,Malapert
1618.547,11.272,Malapert
1618.549,11.086,Malapert
1618.627,9.205,Malapert
1618.630,8.316,Malapert
1618.633,7.200,Malapert
1618.635,6.697,Malapert
1618.638,6.498,Malapert
1618.641,6.236,Malapert
1618.644,6.126,Malapert
