Year,Month,Day,Hour,Minute,T,CMD,Lat
1611,12,11,10,0,1,-45.9,23.7
1611,12,11,10,0,1,-33.3,-11
1611,12,11,10,0,1,38.3,5.5
1611,12,11,10,0,1,-48.2,28.4
1611,12,13,8,30,1,-19.4,24.1
1611,12,13,8,30,1,-10.6,-12
1611,12,13,8,30,1,63.3,6.5
1611,12,13,8,30,1,-26.1,20.6
1611,12,13,8,30,1,-31.9,27.2
1611,12,13,8,30,1,-24.2,30.2
1611,12,13,8,30,1,46.8,-42.9
1611,12,13,8,30,1,41.8,-48.9
1611,12,15,10,0,1,-9.1,11.9
1611,12,15,10,0,1,-10.6,6
1611,12,15,10,0,1,-2.5,7.2
1611,12,15,10,0,1,-15.9,9.7
1611,12,15,10,0,1,24.3,-14.1
1611,12,15,10,0,1,-47.3,-4.7
1611,12,18,9,30,1,34.2,13
1611,12,18,9,30,1,31.9,7.7
1611,12,18,9,30,1,40.9,6.2
1611,12,18,9,30,1,32.1,18.5
1611,12,18,9,30,1,-49.7,-10.9
1611,12,18,9,30,1,-63.3,-8.2
1611,12,19,9,30,1,40.5,11.6
1611,12,19,9,30,1,39.9,6
1611,12,19,9,30,1,48.6,4.7
1611,12,19,9,30,1,-41.7,-12.8
1611,12,19,9,30,1,-47.9,-9.4
1611,12,19,9,30,1,39.6,16
1611,12,19,9,30,1,38.4,17.6
1611,12,27,8,45,1,20.3,16.9
1611,12,27,8,45,1,-11.4,28.5
1611,12,27,8,45,1,-16.1,13.4
1611,12,27,8,45,1,-60.2,17.8
1611,12,28,8,45,1,31,18.4
1611,12,28,8,45,1,1.3,28.8
1611,12,28,8,45,1,1.5,11.7
1611,12,28,8,45,1,0.4,6.2
1611,12,28,8,45,1,-2.6,10.9
1611,12,28,8,45,1,-42.2,18.5
1611,12,28,8,45,1,-51,25.1
1611,12,28,8,45,1,-53.3,26.7
1612,1,5,8,40,1,-38.8,-5.9
1612,1,5,8,40,1,3.1,-26.7
1612,1,5,8,40,1,54.5,9.4
1612,1,5,8,40,1,61.3,7.1
1612,1,5,8,40,1,60.8,9
1612,1,6,9,0,1,-22.2,-6.3
1612,1,6,9,0,1,14.3,-26.8
1612,1,6,9,0,1,63.2,8
1612,1,6,9,0,1,68.9,7.8
1612,1,13,9,0,1,-50.7,17.2
1612,1,13,9,0,1,-19.1,10.7
1612,1,13,9,0,1,-18.1,26
1612,1,13,9,0,1,-11.5,23.6
1612,1,13,9,0,1,-8.4,22.5
1612,1,14,8,30,1,-44.1,17
1612,1,14,8,30,1,-10.3,14.2
1612,1,14,8,30,1,-10.7,26.9
1612,1,14,8,30,1,-1.7,27.4
1612,1,14,8,30,1,1.8,27.3
1612,1,14,8,30,1,-46.5,-29.1
1612,1,16,8,15,1,-15.7,19.1
