Year,Lat
1642.827,7.637
1642.835,7.993
1642.836,7.707
1642.842,7.180
1642.844,7.381
1642.850,11.012
1642.850,14.248
1642.850,9.123
1642.855,10.744
1642.855,14.498
1642.858,10.462
1642.863,8.380
1642.866,9.419
1642.869,9.027
1642.872,9.263
1642.874,9.578
1642.877,9.766
1642.880,10.362
1643.394,5.796
1643.394,1.202
1643.396,7.032
1643.396,7.985
1643.396,-1.174
1643.402,8.282
1643.402,9.166
1643.402,-0.418
1643.402,12.201
1643.405,8.105
1643.405,11.263
1643.405,11.303
1643.405,-2.091
1643.410,8.159
1643.410,8.856
1643.410,12.610
1643.413,6.520
1643.413,6.800
1643.415,5.633
1643.415,6.908
1643.418,5.585
1643.466,7.430
1643.466,7.582
1643.469,7.270
1643.469,6.216
1643.469,-9.280
1643.471,7.480
1643.471,5.701
1643.471,-8.794
1643.474,7.003
1643.474,5.738
1643.474,-9.628
1643.474,-10.817
1643.477,7.640
1643.477,-8.771
1643.477,-8.963
1643.480,8.003
1643.480,-7.565
1643.480,-6.823
1643.485,-6.671
1643.485,8.537
1643.485,12.326
1643.488,-7.338
1643.488,9.194
1643.488,10.957
1643.493,-8.503
1643.493,6.136
1643.493,10.712
1643.496,-10.195
1643.496,5.432
1643.496,8.964
1643.503,6.417
1643.505,6.156
1643.508,5.882
1643.519,3.575
1643.522,4.293
1643.525,4.720
1643.530,5.463
1643.536,5.709
1643.538,5.365
1643.541,4.063
1643.547,4.356
1643.547,11.689
1643.547,6.613
1643.549,4.335
1643.549,10.960
1643.549,5.716
1643.549,7.387
1643.555,14.621
1643.555,6.222
1643.555,9.354
1643.555,0.007
1643.557,14.877
1643.557,6.392
1643.557,9.146
1643.557,0.275
1643.560,14.083
1643.560,6.390
1643.560,7.854
1643.560,0.306
1643.566,15.393
1643.566,6.086
1643.566,9.311
1643.566,1.073
1643.568,6.157
1643.568,0.363
1643.571,6.911
1643.571,0.826
1643.574,7.410
1643.574,1.768
1643.582,-11.523
1643.585,-10.553
1643.586,-10.133
1643.589,-9.896
1643.592,-10.037
1643.594,-10.297
1643.597,-10.725
1643.600,-10.738
1643.602,-10.762
1643.605,-9.597
1643.608,-10.583
1643.608,11.688
1643.611,-10.930
1643.611,11.242
1643.616,10.359
1643.616,-5.260
1643.619,9.650
1643.619,11.128
1643.619,-5.413
1643.622,9.069
1643.622,10.266
1643.622,-5.204
1643.622,11.843
1643.624,10.189
1643.624,-5.348
1643.624,14.646
1643.627,-4.700
1643.627,15.125
1643.630,-4.349
1643.630,15.563
1643.633,-4.197
1643.633,15.936
1643.635,-4.458
1643.635,15.344
1643.638,-4.833
1643.638,15.223
1643.641,-5.501
1643.641,13.530
1643.644,-5.828
1643.644,12.730
1643.644,0.233
1643.646,-6.030
1643.646,12.912
1643.646,0.173
1643.649,12.890
1643.649,0.614
1643.672,5.312
1643.675,5.687
1643.675,-11.570
1643.678,5.250
1643.678,-10.716
1643.680,7.164
1643.686,9.080
1643.694,9.003
1643.694,14.988
1643.697,7.330
1643.697,15.940
1643.700,7.634
1643.700,15.723
1643.700,-9.560
1643.702,6.708
1643.702,16.193
1643.702,-9.366
1643.705,15.784
1643.705,-9.900
1643.705,-14.060
1643.708,15.632
1643.708,-13.928
1643.710,15.614
1643.710,-13.228
1643.713,16.021
1643.713,-13.867
1643.716,15.728
1643.716,-14.007
1643.719,-13.756
1643.721,-14.113
1643.724,-14.042
1643.727,-13.993
1643.730,-15.599
1643.735,-15.012
1643.738,11.390
1643.764,11.130
1643.769,2.526
1643.780,2.145
1643.780,-1.077
1643.791,14.991
1643.794,15.448
1643.802,-9.015
1643.805,-8.519
1643.807,-7.888
1643.807,7.324
1643.810,-7.143
1643.810,6.774
1643.813,-7.121
1643.813,6.763
1643.818,9.245
1643.821,8.218
1643.827,10.145
1643.829,12.387
1643.832,13.528
1643.835,13.703
1643.899,5.890
1643.899,0.185
1643.899,-10.438
1643.902,7.824
1643.902,2.881
1643.902,-3.380
1643.902,-7.240
1643.907,7.138
1643.907,2.668
1643.907,-6.198
1643.910,7.149
1643.910,1.900
1643.910,-9.680
1643.925,5.234
1643.925,-7.042
1643.985,-12.355
1643.988,-12.404
1643.996,-9.679
1643.999,-8.691
1644.002,-7.974
1644.060,-10.117
1644.063,-8.982
1644.066,7.952
1644.068,6.682
1644.127,-10.634
1644.127,-4.416
1644.130,-10.348
1644.130,-5.876
1644.133,-10.609
1644.133,-5.065
1644.133,-5.976
1644.133,5.758
1644.133,6.848
1644.138,-8.527
1644.138,-5.466
1644.138,-6.185
1644.138,6.843
1644.138,7.636
1644.141,-9.762
1644.141,-5.195
1644.141,6.689
1644.141,8.113
1644.146,-5.468
1644.146,8.253
1644.146,7.908
1644.155,-4.946
1644.155,10.440
1644.155,9.932
1644.213,10.373
1644.213,-12.044
1644.235,-11.774
1644.238,-11.253
1644.243,-11.638
1644.243,0.294
1644.246,-13.217
1644.249,-9.330
1644.253,-9.710
1644.255,-9.790
1644.258,-11.185
1644.258,-10.093
1644.261,-11.617
1644.261,-11.118
1644.264,-11.568
1644.272,-10.041
1644.272,-12.371
1644.272,-18.555
1644.275,-10.718
1644.275,-11.638
1644.275,-18.095
1644.277,-10.339
1644.277,-11.870
1644.277,-16.184
1644.280,-10.042
1644.280,-11.376
1644.280,-17.278
1644.280,6.125
1644.280,-8.843
1644.283,-9.823
1644.283,-12.385
1644.283,-19.092
1644.283,-10.405
1644.286,-10.382
1644.286,-11.641
1644.286,-17.868
1644.286,5.913
1644.286,-8.840
1644.288,-9.783
1644.288,-11.767
1644.288,-18.164
1644.288,6.425
1644.288,-8.557
1644.291,-11.663
1644.291,-17.595
1644.291,8.033
1644.291,-8.748
1644.297,-11.317
1644.297,-8.791
1644.299,-11.417
1644.299,-9.138
1644.302,-8.822
1644.305,-7.892
1644.342,4.613
1644.344,4.809
1644.344,-12.245
1644.344,-12.357
1644.350,4.936
1644.350,5.859
1644.350,6.552
1644.350,-10.158
1644.350,-10.664
1644.352,6.471
1644.352,7.005
1644.352,6.564
1644.352,-9.647
1644.352,-9.923
1644.355,6.394
1644.355,8.209
1644.355,7.591
1644.355,-9.476
1644.355,-9.817
1644.361,7.265
1644.361,7.867
1644.361,7.794
1644.361,-7.532
1644.361,-10.004
1644.363,6.320
1644.363,-7.349
1644.363,-9.768
1644.366,6.793
1644.366,-8.545
1644.366,-10.729
1644.369,7.256
1644.369,-9.259
1644.369,-11.510
1644.372,-10.182
1644.372,-12.677
1644.374,-11.007
1644.374,-13.513
1644.377,-11.528
1644.377,-3.704
1644.394,1.783
1644.394,-1.260
1644.396,1.244
1644.396,-2.134
1644.399,-0.238
1644.399,-2.102
1644.402,-0.552
1644.402,-1.610
1644.405,0.927
1644.405,-1.996
1644.407,-2.608
1644.410,-3.503
1644.410,7.588
1644.415,5.111
1644.418,-9.929
1644.418,7.907
1644.419,-10.086
1644.419,7.586
1644.425,-9.283
1644.425,10.937
1644.428,-8.526
1644.428,8.396
1644.430,-7.350
1644.430,7.405
1644.433,-7.238
1644.436,-7.192
1644.452,-3.068
1644.463,-1.584
1644.477,-1.916
1644.493,-10.573
