Year,Month,Day,Hour,Minute,T,CMD,Lat
1611,10,21,9,30,1,-23.4,-0.6
1611,10,21,9,30,1,-22.5,-2.1
1611,10,21,9,30,1,-6,9.3
1611,10,21,9,30,1,16.1,18.5
1611,10,21,9,30,1,22.1,21.2
1611,10,21,9,30,1,25.4,23
1611,10,21,9,30,1,44.2,36
1611,10,21,9,30,1,-22.3,1.1
1611,10,21,9,30,1,-14.9,2
1611,10,21,9,30,1,-3.6,9.8
1611,10,21,9,30,1,-4.7,10.4
1611,10,21,9,30,1,-3.4,14.3
1611,10,21,9,30,1,-7.5,12.1
1611,10,21,9,30,1,-5,12.8
1611,10,21,9,30,1,-5.5,10.9
1611,10,21,9,30,1,3.7,12.2
1611,10,21,9,30,1,2.6,10.2
1611,10,21,9,30,1,1.8,12.2
1611,10,21,9,30,1,1.7,14.5
1611,10,21,9,30,1,67.2,10.7
1611,10,21,9,30,1,57.2,4.4
1611,10,22,8,0,1,-19.4,-0.9
1611,10,22,8,0,1,-17.2,-3.9
1611,10,22,8,0,1,-2.4,8.5
1611,10,22,8,0,1,22.3,18.2
1611,10,22,8,0,1,29.3,20.5
1611,10,22,8,0,1,34.4,21.9
1611,10,22,8,0,1,59,35.6
1611,10,22,8,0,1,-8.7,1
1611,10,22,8,0,1,0.4,6.4
1611,10,22,8,0,1,0.1,10.4
1611,10,22,8,0,1,11,13.7
1611,10,22,8,0,1,9.5,10
1611,10,22,8,0,1,8.6,12.5
1611,10,22,8,0,1,8.2,14.5
1611,10,22,16,0,1,-22.8,-2.2
1611,10,22,16,0,1,-20.6,-7.1
1611,10,22,16,0,1,-2.3,8.2
1611,10,22,16,0,1,20.2,15.3
1611,10,22,16,0,1,28,17.8
1611,10,22,16,0,1,32.5,18.8
1611,10,22,16,0,1,49.1,32.2
1611,10,22,16,0,1,-12.8,0.9
1611,10,22,16,0,1,0.6,7.4
1611,10,22,16,0,1,-0.8,11.6
1611,10,22,16,0,1,9.7,10.2
1611,10,22,16,0,1,7.5,12.5
1611,10,22,16,0,1,7.2,8.8
1611,10,22,16,0,1,67.4,-1.6
1611,10,22,16,0,1,54.4,-9.4
1611,10,23,8,0,1,-11.7,6
1611,10,23,8,0,1,-10.5,0.9
1611,10,23,8,0,1,12.7,8
1611,10,23,8,0,1,31.7,17.8
1611,10,23,8,0,1,38.9,21.8
1611,10,23,8,0,1,43.7,24.7
1611,10,23,8,0,1,60.5,32
1611,10,23,8,0,1,2.1,3.4
1611,10,23,8,0,1,0.1,0.7
1611,10,23,8,0,1,13,13
1611,10,23,8,0,1,15.6,9
1611,10,23,8,0,1,21.1,15.7
1611,10,23,8,0,1,20.4,13
1611,10,23,8,0,1,57.4,-1.9
1611,10,23,8,0,1,55.7,-9.2
1611,10,23,8,0,1,71.2,-5.6
1611,10,23,8,0,1,67.6,-13.2
1611,10,23,8,0,1,66.8,-4.7
1611,10,23,8,0,1,64.4,-11.6
1611,10,23,8,0,1,63.1,-5.2
1611,10,23,8,0,1,60.7,-8.9
1611,10,23,8,0,1,66,-8.5
1611,10,24,8,0,1,-4.6,9.5
1611,10,24,8,0,1,-6.1,6
1611,10,24,8,0,1,4.8,6.4
1611,10,24,8,0,1,14.9,6
1611,10,24,8,0,1,12.1,4.1
1611,10,24,8,0,1,15.3,2.1
1611,10,24,8,0,1,32.7,1.1
1611,10,24,8,0,1,21.4,-0.4
1611,10,24,8,0,1,22.2,4.7
1611,10,24,8,0,1,24.5,2.1
1611,10,24,8,0,1,42.9,0.5
1611,10,24,8,0,1,48.8,1.4
1611,10,24,8,0,1,-0.1,4.6
1611,10,25,9,0,1,8.4,10.2
1611,10,25,9,0,1,6.3,6
1611,10,25,9,0,1,16.7,6.2
1611,10,25,9,0,1,27.6,7.2
1611,10,25,9,0,1,25.7,4.7
1611,10,25,9,0,1,27.4,1.8
1611,10,25,9,0,1,46.1,-0.1
1611,10,25,9,0,1,37,4.1
1611,10,25,9,0,1,34.7,0.9
1611,10,25,9,0,1,-45.6,-19.2
1611,10,25,9,0,1,-61.7,-18.6
1611,10,25,16,0,1,13.5,6.7
1611,10,25,16,0,1,13.6,2.7
1611,10,25,16,0,1,22.6,4.7
1611,10,25,16,0,1,35,7.4
1611,10,25,16,0,1,31.5,5
1611,10,25,16,0,1,33.6,1.8
1611,10,25,16,0,1,55.1,1.5
1611,10,25,16,0,1,43.2,2.2
1611,10,25,16,0,1,-66.1,1.1
1611,10,25,16,0,1,-46.3,-18.1
1611,10,25,16,0,1,-27.8,-13.8
1611,10,25,16,0,1,-26.1,-10.4
1611,10,26,8,0,1,22.5,11.3
1611,10,26,8,0,1,20.1,8.2
1611,10,26,8,0,1,27,6.2
1611,10,26,8,0,1,36.2,6.7
1611,10,26,8,0,1,33.4,3.4
1611,10,26,8,0,1,36.9,2.6
1611,10,26,8,0,1,55,-0.7
1611,10,26,8,0,1,31.6,2.2
1611,10,26,8,0,1,43.2,0
1611,10,26,8,0,1,46.9,2.2
1611,10,26,8,0,1,-27.1,-18.9
1611,10,26,8,0,1,-43.6,-15.8
1611,10,26,12,0,1,-64.9,4.8
1611,10,26,12,0,1,-47.8,3.7
1611,10,26,12,0,1,-36.6,-22.8
1611,10,26,12,0,1,-17.1,-21.4
1611,10,26,12,0,1,24.1,7.8
1611,10,26,12,0,1,24.4,4.4
1611,10,26,12,0,1,32.6,5.4
1611,10,26,12,0,1,41.1,7.9
1611,10,26,12,0,1,42.2,4.3
1611,10,26,12,0,1,54.9,7.4
1611,10,26,12,0,1,55.3,4.5
1611,10,26,12,0,1,68.3,4.2
1611,10,26,16,0,1,-51.2,8.8
1611,10,26,16,0,1,-40,5.2
1611,10,26,16,0,1,-26.1,-19.7
1611,10,26,16,0,1,-5.1,-18
1611,10,26,16,0,1,25.4,9.2
1611,10,26,16,0,1,25.8,5.2
1611,10,26,16,0,1,35.3,6.8
1611,10,26,16,0,1,46.1,9.6
1611,10,26,16,0,1,46,4.5
1611,10,26,16,0,1,46.7,6.9
1611,10,26,16,0,1,58.7,9.3
1611,10,26,16,0,1,68.4,2.9
1611,10,27,9,0,1,-63.7,7.2
1611,10,27,9,0,1,-45.3,2.2
1611,10,27,9,0,1,-22.1,-22.9
1611,10,27,9,0,1,-2.2,-22.6
1611,10,27,9,0,1,36.3,9.3
1611,10,27,9,0,1,35.8,5.1
1611,10,27,9,0,1,43.3,6
1611,10,27,9,0,1,53.1,2.9
1611,10,27,9,0,1,53.1,6.1
1611,10,27,9,0,1,65.3,4.7
1611,10,28,14,30,1,-45,28.2
1611,10,28,14,30,1,-36.9,21.1
1611,10,28,14,30,1,-32.8,16.6
1611,10,28,14,30,1,-12.9,-17.3
1611,10,28,14,30,1,7.7,-24.8
1611,10,28,14,30,1,11.8,11.4
1611,10,28,14,30,1,4.7,10.8
1611,10,28,14,30,1,52.9,-17.8
1611,10,28,14,30,1,52.7,-21.4
1611,10,28,14,30,1,63.4,-20.5
1611,10,29,8,0,1,-34.2,31.3
1611,10,29,8,0,1,-25.7,16.4
1611,10,29,8,0,1,-25,10.9
1611,10,29,8,0,1,-9.3,-20.1
1611,10,29,8,0,1,7.7,-24.5
1611,10,29,8,0,1,0.1,13.1
1611,10,29,8,0,1,-43.4,1.1
1611,10,29,8,0,1,-41.3,2.7
1611,10,29,8,0,1,-62.1,-16.9
1611,10,29,8,0,1,-54.5,-15.3
1611,10,29,8,0,1,-43.3,-15.6
1611,10,29,15,0,1,-19.2,29.6
1611,10,29,15,0,1,-9,19.4
1611,10,29,15,0,1,-9.1,13.6
