Year,Month,Day,Hour,Minute,T,CMD,Lat
1749,2,15,11,0,0,135.1,-13.3
1749,2,15,11,0,0,161.2,-12
1749,2,15,11,0,0,163.5,-14
1749,2,15,11,0,0,162.4,-13.2
1749,2,15,11,0,0,165.5,-9.7
1749,2,15,11,0,0,164.6,-8.6
1749,2,15,11,0,0,176.4,7
1749,2,15,11,0,0,174.4,8.6
1749,2,15,11,0,0,203.8,13.4
1749,2,15,11,0,0,201,15.3
1749,2,18,11,0,0,129.8,-13.9
1749,2,18,11,0,0,125.9,10.8
1749,2,18,11,0,0,158.5,9
1749,2,18,11,0,0,170.4,35.2
1749,2,21,11,0,0,128.2,-12.4
1749,2,22,11,0,0,125.5,-11.1
1749,2,22,11,0,0,19.5,4.8
1749,2,23,11,0,0,106.2,10.4
1749,2,23,11,0,0,40.8,11.8
1749,2,26,11,0,0,48.8,12.2
1749,2,26,11,0,0,340.1,14.5
1749,2,26,11,0,0,328.8,5.5
1749,2,27,11,0,0,341.1,13.1
1749,3,4,11,0,0,344.8,-6.2
1749,3,4,11,0,0,349.1,-22.9
1749,3,4,11,0,0,355.4,-23
1749,3,4,11,0,0,287.7,5.6
1749,3,5,11,0,0,345.8,-6.2
1749,3,5,11,0,0,343.9,-21.4
1749,3,5,11,0,0,350.2,-22.2
1749,3,5,11,0,0,285.4,8.7
1749,3,6,11,0,0,325.7,-51.1
1749,3,6,11,0,0,264.7,-3.1
1749,3,6,11,0,0,336.7,-53
1749,3,6,11,0,0,294.9,9.6
1749,3,6,11,0,0,296.1,8.1
1749,3,24,11,0,0,51.4,-41.6
1749,3,24,11,0,0,25.9,-5
1749,3,24,11,0,0,21.4,-4.6
1749,3,28,11,0,0,20.8,-24.8
1749,3,28,11,0,0,342.7,-11
1749,3,29,11,0,0,319.7,2.5
1749,3,29,11,0,0,344.1,-8.6
1749,3,29,11,0,0,315.5,-4.8
1749,3,29,11,0,0,25.4,-14
1749,3,30,11,0,0,18.4,-13.5
1749,3,30,11,0,0,316.2,3.4
1749,3,30,11,0,0,313.7,0.3
1749,3,30,11,0,0,301.6,-1.5
1749,3,30,11,0,0,1.5,15.9
1749,3,30,11,0,0,341.8,-8
1749,3,29,11,0,0,24.1,-24.9
1749,3,29,11,0,0,343.6,-10.7
1749,3,29,11,0,0,317,-0.1
1749,3,29,11,0,0,322.7,5.6
1749,3,30,11,0,0,17,-23.6
1749,3,30,11,0,0,341.1,-12.3
1749,3,30,11,0,0,315.3,1.6
1749,3,30,11,0,0,318.4,3.9
1749,3,30,11,0,0,303.1,2.4
1749,3,30,11,0,0,4.7,8
1749,4,4,11,0,0,214.7,-0.8
1749,4,4,11,0,0,215.4,1.2
1749,4,4,11,0,0,222.5,-1.5
1749,4,4,11,0,0,223.1,-16.9
1749,4,4,11,0,0,215.3,-17.1
1749,4,4,11,0,0,215,-19.5
1749,4,13,11,0,0,125.5,-15.1
1749,4,13,11,0,0,180.1,2.5
1749,4,13,11,0,0,187.1,0.4
1749,4,13,11,0,0,187.7,6.3
1749,4,13,11,0,0,184.3,-30.1
1749,4,13,11,0,0,187.7,-25.1
1749,4,13,11,0,0,122.2,-5.9
1749,4,13,11,0,0,178.4,-24.8
1749,6,24,11,0,0,264.3,-11.7
1749,6,24,11,0,0,249.3,-9.8
1749,6,24,11,0,0,249.1,-2.8
1749,6,24,11,0,0,294.7,-3.5
1749,6,28,11,0,0,184.7,15
1749,6,28,11,0,0,248.3,-10.2
1749,6,28,11,0,0,247,-2.6
1749,6,28,11,0,0,248.5,4.3
1749,6,28,11,0,0,214.1,-17.4
1749,6,28,11,0,0,220.8,-15.9
1749,6,28,11,0,0,212.3,-7.8
1749,6,24,11,0,0,247.5,-6.7
1749,6,24,11,0,0,248.3,0.2
1749,6,24,11,0,0,293.2,-8.5
1749,6,24,11,0,0,261.7,-11.1
1749,6,28,11,0,0,249.2,-7.2
1749,6,28,11,0,0,247.4,0
1749,6,28,11,0,0,248.4,7.1
1749,6,28,11,0,0,216.2,-17.4
1749,6,28,11,0,0,222.5,-15.1
1749,6,28,11,0,0,213.6,-9
1749,6,28,11,0,0,212.8,-7
1749,6,28,11,0,0,184.2,12.3
1749,7,9,11,0,0,50.4,4.8
1749,7,9,11,0,0,65.4,17.4
1749,7,12,11,0,0,53.6,23
1749,7,12,11,0,0,43.7,10.4
1749,7,12,11,0,0,3.2,6.7
1749,7,12,11,0,0,358.8,8.4
1749,7,12,11,0,0,358.6,6.1
1749,7,12,11,0,0,338.3,20.9
1749,7,14,11,0,0,53.5,20.5
1749,7,14,11,0,0,35.2,8.5
1749,7,14,11,0,0,4.1,9.4
1749,7,14,11,0,0,2.2,9
1749,7,14,11,0,0,0.6,8.7
1749,7,14,11,0,0,356.7,7.1
1749,7,14,11,0,0,359.1,8.3
1749,7,14,11,0,0,357.8,11.1
1749,7,14,11,0,0,351.9,10
