Year,G,S
1610.5,2.64,0.92
1611.5,5.28,1.85
1612.5,10.56,3.7
1613.5,7.92,2.77
1614.5,7.04,2.46
1615.5,8.8,3.08
1616.5,7.04,2.46
1617.5,0.88,0.31
1618.5,0.88,0.31
1619.5,0.88,0.31
1620.5,0.88,0.31
1621.5,0.88,0.31
1622.5,0.88,0.31
1623.5,0.88,0.31
1624.5,1.76,0.62
1625.5,8.8,3.08
1626.5,6.16,2.16
1627.5,2.64,0.92
1628.5,2.64,0.92
1629.5,2.64,0.92
1630.5,0.05,0.02
1631.5,0.88,0.31
1632.5,0.05,0.02
1633.5,3.52,1.23
1634.5,2.64,0.92
1635.5,1.76,0.62
1636.5,1.7,0.59
1637.5,1.8,0.63
1638.5,1.76,0.62
1639.5,0.88,0.31
1640.5,0.88,0.31
1641.5,1.6,0.56
1642.5,2.64,0.92
1643.5,3.52,1.23
1644.5,4.4,1.54
1645.5,0.88,0.31
1646.5,0.4,0.14
1647.5,0.2,0.07
1648.5,0.05,0.02
1649.5,0.05,0.02
1650.5,0.3,0.1
1651.5,1,0.35
1652.5,1.76,0.62
1653.5,2.64,0.92
1654.5,3.52,1.23
1655.5,0.88,0.31
1656.5,0.88,0.31
1657.5,0.88,0.31
1658.5,0.05,0.02
1659.5,0.05,0.02
1660.5,1.76,0.62
1661.5,0.88,0.31
1662.5,0.05,0.02
1663.5,0.05,0.02
1664.5,0.05,0.02
1665.5,0.05,0.02
1666.5,0.05,0.02
1667.5,0.05,0.02
1668.5,0.05,0.02
1669.5,0.05,0.02
1670.5,0.05,0.02
1671.5,0.88,0.31
1672.5,0.88,0.31
1673.5,0.05,0.02
1674.5,0.88,0.31
1675.5,0.05,0.02
1676.5,1.76,0.62
1677.5,0.88,0.31
1678.5,0.88,0.31
1679.5,0.88,0.31
1680.5,1.76,0.62
1681.5,0.88,0.31
1682.5,0.88,0.31
1683.5,0.05,0.02
1684.5,1.76,0.62
1685.5,0.05,0.02
1686.5,2.64,0.92
1687.5,1.76,0.62
1688.5,1.76,0.62
1689.5,0.88,0.31
1690.5,0.05,0.02
1691.5,0.05,0.02
1692.5,0.05,0.02
1693.5,0.05,0.02
1694.5,0.05,0.02
1695.5,0.88,0.31
1696.5,0.05,0.02
1697.5,0.05,0.02
1698.5,0.05,0.02
1699.5,0.05,0.02
1700.5,1.76,0.31
1701.5,1.76,0.31
1702.5,0.88,0.15
1703.5,2.64,0.46
1704.5,4.4,0.77
1705.5,5.28,0.92
1706.5,3.52,0.62
1707.5,2.64,0.46
1708.5,1.76,0.31
1709.5,2.64,0.46
1710.5,0.88,0.15
1711.5,0.05,0.01
1712.5,0.05,0.01
1713.5,0.88,0.15
1714.5,1.76,0.31
1715.5,3.52,0.62
1716.5,7.04,1.23
1717.5,4.4,0.77
1718.5,4.4,0.77
1719.5,6.16,1.08
1720.5,7.92,1.39
1721.5,7.92,1.39
1722.5,1.76,0.31
1723.5,0.88,0.15
1724.5,2.64,0.46
1725.5,2.64,0.46
1726.5,8.8,1.54
1727.5,7.04,1.23
1728.5,11.44,2
1729.5,7.92,1.39
1730.5,8.8,1.54
1731.5,6.1,1.07
1732.5,2.64,0.46
1733.5,0.88,0.15
1734.5,1.1,0.19
1735.5,3.52,0.62
1736.5,7.92,1.39
1737.5,2.64,0.46
1738.5,3.52,0.62
1739.5,7.77,1.36
1740.5,5.8,1.01
1741.5,2.64,0.46
1742.5,2.78,0.49
1743.5,1.81,0.32
1744.5,2.84,0.5
1745.5,5.02,0.88
1746.5,7.48,1.31
1747.5,9.33,1.63
1748.5,9.74,1.71
1749.5,7.97,1.39
1750.5,8.82,1.55
1751.5,4.84,0.85
1752.5,4.13,0.73
1753.5,2.8,0.49
1754.5,1.3,0.23
1755.5,0.85,0.15
1756.5,1.27,0.22
1757.5,3.63,0.63
1758.5,4.23,0.74
1759.5,5.07,0.88
1760.5,5.19,0.91
1761.5,8.3,1.45
1762.5,6.04,1.06
1763.5,4.17,0.73
1764.5,5.14,0.9
1765.5,1.36,0.24
1766.5,1.29,0.23
1767.5,4.65,0.82
1768.5,7.9,1.38
1769.5,10.65,1.86
1770.5,9.78,1.71
1771.5,8.6,1.5
1772.5,6.69,1.17
1773.5,3.5,0.61
1774.5,3.86,0.68
1775.5,2.01,0.35
1776.5,2.53,0.44
1777.5,7.44,1.3
1778.5,12.03,2.11
1779.5,10.78,1.88
1780.5,8.81,1.54
1781.5,8.41,1.47
1782.5,3.29,0.58
1783.5,2.95,0.51
1784.5,0.53,0.09
1785.5,1.73,0.3
1786.5,8.36,1.46
1787.5,11.84,2.07
1788.5,11.15,1.95
1789.5,9.72,1.7
1790.5,8.01,1.4
1791.5,6.68,1.17
1792.5,6.01,1.06
1793.5,2.4,0.42
1794.5,4.19,0.73
1795.5,1.73,0.31
1796.5,1.45,0.26
1797.5,0.71,0.12
1798.5,0.43,0.07
1799.5,0.66,0.12
1800.5,2,0.35
1801.5,4.74,0.82
1802.5,3.84,0.64
1803.5,4.01,0.64
1804.5,4.96,0.76
1805.5,3.88,0.58
1806.5,1.83,0.26
1807.5,1.75,0.24
1808.5,1.07,0.14
1809.5,0.57,0.08
1810.5,0.05,0.01
1811.5,0.32,0.04
1812.5,1.67,0.2
