Year,G,S,Obs
1610.5,5.96,0,1
1611.5,4.608,0.071,66
1612.5,7.627,0.067,556
1613.5,7.644,0.107,164
1614.5,10.017,0,1
1615.5,2.49,0,13
1616.5,1.787,0.159,73
1617.5,0.062,0,219
1618.5,0.109,0,709
1619.5,1.242,0,21
1620.5,1.242,0,45
1621.5,1.242,0,76
1622.5,1.242,0,34
1623.5,1.242,0,11
1624.5,0.916,0,66
1625.5,3.512,0.006,387
1626.5,2.17,0.036,413
1627.5,1.511,0,97
1628.5,1.738,0,25
1629.5,1.424,0,68
1630.5,0,0,14
1631.5,0.267,0,65
1632.5,0,0,470
1633.5,0.358,0,111
1634.5,0.132,0,339
1635.5,0.141,0,282
1636.5,-1,-1,0
1637.5,-1,-1,0
1638.5,5.73,0.004,335
1639.5,6.351,0,365
1640.5,1.242,0,2
1641.5,-1,-1,0
1642.5,4.17,0,37
1643.5,1.278,0,177
1644.5,0.995,0,250
1645.5,0.004,0,351
1646.5,0,0,365
1647.5,0,0,365
1648.5,0,0,479
1649.5,0,0,365
1650.5,0,0,365
1651.5,0,0,365
1652.5,0.17,0,96
1653.5,0.069,0,474
1654.5,0.058,0,691
1655.5,0.044,0,413
1656.5,0.044,0,492
1657.5,0.014,0,481
1658.5,0,0,444
1659.5,0,0,706
1660.5,0.164,0.003,775
1661.5,0.063,0,836
1662.5,0,0,1237
1663.5,0,0,1265
1664.5,0,0,1219
1665.5,0,0,740
1666.5,0,0,1001
1667.5,0,0,1254
1668.5,0,0,849
1669.5,0,0,786
1670.5,0,0,836
1671.5,0.081,0,556
1672.5,0.03,0,816
1673.5,0,0,633
1674.5,0.018,0,312
1675.5,0,0,713
1676.5,0.14,0.001,736
1677.5,0.027,0,875
1678.5,0.019,0.002,753
1679.5,0,0,780
1680.5,0.063,0.001,731
1681.5,0.003,0,865
1682.5,0,0,876
1683.5,0,0,916
1684.5,0.117,0.003,943
1685.5,0,0,750
1686.5,0.046,0.001,820
1687.5,0.005,0.002,885
1688.5,0.041,0.005,933
1689.5,0.016,0,1991
1690.5,0,0,1380
1691.5,0,0,888
1692.5,0,0,682
1693.5,0,0,798
1694.5,0,0,809
1695.5,0.011,0.001,1351
1696.5,0,0,1425
1697.5,0,0,1444
1698.5,0,0,1296
1699.5,0,0,1469
1700.5,0.034,0.001,1343
1701.5,0.041,0.002,937
1702.5,0.05,0.006,890
1703.5,0.221,0.007,956
1704.5,0.343,0.01,729
1705.5,0.456,0.008,697
1706.5,0.264,0.007,602
1707.5,0.435,0.008,824
1708.5,0.236,0.004,741
1709.5,0.131,0.003,1108
1710.5,0.034,0,667
1711.5,0,0,1277
1712.5,0,0,1135
1713.5,0.027,0.001,918
1714.5,0.081,0.003,627
1715.5,0.299,0.004,403
1716.5,0.752,0.012,628
1717.5,1.443,0.02,527
1718.5,0.831,0.013,266
1719.5,2.8,0.074,530
1720.5,1.981,0.05,484
1721.5,1.453,0.007,320
1722.5,0.903,0.076,108
1723.5,0.653,0,8
1724.5,1.222,0.067,24
1725.5,1.033,0.013,134
1726.5,3.019,0.018,392
1727.5,3.292,0,34
1728.5,5.425,0,58
1729.5,2.297,0,24
1730.5,7.026,0.106,43
1731.5,0,0,1
1732.5,1.49,0,2
1733.5,0.002,0,395
1734.5,0,0,1
1735.5,1.681,0.022,27
1736.5,4.396,0.049,26
1737.5,1.987,0,3
1738.5,1.407,0.579,2
1739.5,4.621,0.016,19
1740.5,1.021,0,45
1741.5,1.247,0,17
1742.5,0.93,0,21
1743.5,0.898,0,22
1744.5,-1,-1,0
1745.5,-1,-1,0
1746.5,0,0,1
1747.5,-1,-1,0
1748.5,5.05,0.579,5
1749.5,5.379,0,109
1750.5,4.086,0.047,137
1751.5,2.918,0.021,156
1752.5,2.4,0.024,137
1753.5,2.073,0,21
1754.5,0.864,0.012,432
1755.5,0.389,0.004,559
1756.5,0.61,0.003,425
1757.5,1.586,0.015,269
1758.5,3.132,0,105
1759.5,4.207,0,17
1760.5,3.509,0.004,89
1761.5,6.124,0.029,268
1762.5,3.816,0.01,266
1763.5,2.668,0,210
1764.5,2.364,0.037,212
