STATION,INITIAL,FINAL,TOT.OBS,OBSERVER
1,1610,1613,210,"HARRIOT, T., OXFORD"
2,1611,1640,882,"SCHEINER, C., ROME"
3,1612,1612,51,"GALILEO, G., ROME"
4,1612,1612,37,"GALILEO-SAKURAI, ROME"
5,1612,1612,20,"COLOGNA, S., MONREALE"
6,1612,1613,104,"JUNGIUS, J., HAMBURG"
7,1612,1612,29,"CIGOLI, L.C., ROME"
8,1613,1614,51,"COLONNA, F., NAPLES"
9,1615,1617,57,"TARDE, J., FARLAT"
10,1616,1616,12,"SAXONIUS, P., NUREMBERG"
11,NaN,NaN,0,"MARIUS, S., NUREMBERG"
12,1618,1626,187,"MALAPERT, C., BELGIUM"
13,1632,1632,66,"RICCIOLI, J.B., BONONIA"
14,1621,1625,82,"SMOGULECZ, D., INGOLSTADT"
15,1621,1629,4,"SCHICKARD, W., TUBINGA"
16,1625,1625,1,"HORTENSIUS, M., LUGD. BATAV."
17,1626,1629,126,"MOGLING, D., DARMSTADT"
18,1631,1645,80,"GASSENDI, P., PARIS (LEIF RECOUNT)"
19,1631,1631,1,"QUIETANUS, J.R., GERMANY"
20,NaN,NaN,0,"ZAHN, J., NUREMBERG"
21,1633,1635,2,"OCTOUL, AVENIONE"
22,1794,1795,91,"FLAUGERGUES, H., AUBENAS"
23,1638,1639,7,"HORROX, J., LIVERPOOL"
24,NaN,NaN,0,"CRABTREE, W., ENGLAND"
25,1642,1684,1660,"HEVELIUS, J., DANZIG"
26,1642,1642,14,"RHEITA, K., BOHEMIA"
27,NaN,NaN,0,"LINEMANNS, A., REGIOMONTUS"
28,1648,1648,113,"UNKNOWN-KRAFT,1745"
29,1652,1677,40,"PETITUS, P., PARIS"
30,1652,1654,275,UNKNOWN1-MAUNDER-JBAA
31,NaN,NaN,0,"PICARD-KEILL, PARIS"
32,1655,1655,13,UNKNOWN2-MAUNDER-JBAA
33,1671,1695,119,"CASSINI, G.D., PARIS"
34,1656,1656,13,"BOSE, J.A., LEIPZIG"
35,NaN,NaN,0,"MARALDI, F., BONONIA"
36,1659,1661,234,"MOUTON, G., LYON"
37,1660,1660,14,"BOYLE, R., LONDON"
38,1660,1682,261,"PICARD, J., PARIS"
39,1661,1671,318,"FOGEL, M., HAMBURG"
40,NaN,NaN,0,"WEIGEL, E., JENA"
41,NaN,NaN,0,"MEZZAVACCA, C., BONONIA"
42,NaN,NaN,0,"MENGOLI, P., BONONIA"
43,1666,1683,2,"HUYGENS, C., HAGUE"
44,1666,1666,1,"PAYEN, A.-F., AVIGNON"
45,1666,1666,1,"WILLOUGHBY, F., ENGLAND"
46,NaN,NaN,0,"WEICKMANN, C., GERMANY"
47,1667,1667,1,"KIRCHER, A., ROME"
48,NaN,NaN,0,"FABRIUS, A., BONONIA"
49,1676,1676,21,"MONTANARI, G., BONONIA"
50,1671,1681,1040,"SIVERUS, H., HAMBURG"
51,1671,1676,5,"HOOK, R., LONDON"
52,1671,1671,11,"STETINI, LEIPZIG"
53,1672,1673,130,"RICHER, CAYENNE"
54,1672,1676,20,"LALANDE, MEMOIRES, PARIS"
55,NaN,NaN,0,"MANZIUS, D., BONONIA"
56,1674,1674,19,"PICARD, J., MONTPELLIER"
57,NaN,NaN,0,"CALCINA, J.C., BONONIA"
58,1684,1695,151,"GULIELMINI, J.F., BONONIA"
59,1676,1714,1499,"FLAMSTEED, J., CAMBRIDGE"
60,1676,1676,9,"HALLEY, E., LONDON"
61,1676,1676,2,"MOORE, J., LONDON (RS ARCHIVES)"
62,1676,1676,1,"HAYNES, CAMBRIDGE"
63,1677,1702,2325,"EIMMART, G.C., NUREMBERG"
64,1677,1677,7,"HARTSOEKER, N., THE HAGUE"
65,1678,1678,1,"MACULA IN SOLE, 1678"
66,1678,1710,480,"KIRCH, G., BERLIN"
67,1678,1684,9,"ETTMULLER, M.E., WITTENBERG"
68,1680,1680,23,"PICARD, J., BAYONNE"
69,1680,1687,3,"IHLE, J.A., BERLIN"
70,1681,1681,20,"PICARD, J., ENGLAND"
71,1681,1681,60,"VARIN, M.M., CAPE VERDE VOYAGE"
72,1681,1681,1,"DESHAYES, M., ROUEN"
73,1682,1718,7170,"LA HIRE, PH., PARIS"
74,1684,1684,2,"CASWELL (R.S.), LONDON"
75,1684,1684,18,"CLAUSEN, F., KILONI"
76,1684,1718,157,"WURZELBAUR, J.P., NUREMBERG"
77,1686,1686,9,"JESUITS, CHINA"
78,1687,1689,2,"SCHULTZ, D.G., NUREMBERG"
79,1688,1736,211,"MARALDI, M., BONONIA"
80,1688,1693,5,"ARNOLD, C., BERLIN"
81,NaN,NaN,0,"DECHALES, M., LUGDUNI"
82,1690,1723,4,"MENTZER, B., HAMBURG"
83,1694,1703,2,"BRATTLE, T., BOSTON"
84,NaN,NaN,0,"UCCELLI, I., BONONIA"
85,1695,1699,2,"MOEREN, J.T., NUREMBERG"
86,1695,1707,218,"AGERHOLM, C., COPENHAGEN"
87,NaN,NaN,0,"STANCARIUS, V.F., BONONIA"
88,1697,1697,21,"CASSINI, G.D., FLANDERS"
89,1698,1698,9,"CASSINI, G.D., LONDON"
90,1699,1699,1,"MEYER, J., REGENSBURG"
91,1700,1709,214,"CASSINI, J., PARIS"
92,1701,1705,19,"JARTOUX, R.P., PEKING"
93,1702,1738,716,"MANFREDI, E., BONONIA"
94,1703,1704,141,"EIMMART, M-C., NUREMBERG"
95,1703,1727,130,"BLANCHINI, F., VERONA"
96,1703,1715,278,"DERHAM, W., UPMINSTER"
97,1703,1703,22,"HOFFMANN, J.H., BERLIN"
98,1703,1713,80,"GRAY, S., CANTERBURY"
99,1703,1703,17,"SHARP, A., HORTON"
100,1703,1704,12,"ROMER, O., COPENHAGEN"
101,1703,1704,72,"STANNYAN, ENGLAND"
102,1704,1704,1,"SALVAGO, M., GENNES"
103,1704,1704,1,"DE LA VAL, P., MARSEILLE"
104,1704,1726,423,"PLANTADE, J., MONTPELLIER"
105,1704,1704,1,"DE CLAPIER, M., MONTPELLIER"
106,1704,1704,1,"FULCHIRON, P., LYON"
107,1704,1704,1,"THYOLI, LYON"
108,1705,1709,87,"LALANDE, HISTORIE, PARIS"
109,1705,1709,80,"MULLER, J.H., NUREMBERG"
110,1706,1721,5,"SCHEUCHZER, J.J., ZURICH"
111,1706,1706,1,"TORRE, F., ARLES"
112,1707,1707,2,"HERTEL, C.T., BERLIN"
