Year,G,S
1610.50,15.70,20.10
1611.50,54.30,69.50
1612.50,94.50,120.96
1613.50,86.30,110.46
1614.50,115.00,147.20
1615.50,20.80,26.62
1616.50,17.50,22.40
1617.50,0.10,0.13
1618.50,0.20,0.26
1619.50,13.20,16.90
1620.50,13.00,16.64
1621.50,15.00,19.20
1622.50,16.90,21.63
1623.50,13.00,16.64
1624.50,11.60,14.85
1625.50,34.50,44.16
1626.50,16.70,21.38
1627.50,15.00,19.20
1628.50,23.20,29.70
1629.50,17.40,22.27
1630.50,4.20,5.38
1631.50,3.20,4.10
1632.50,0.00,0.00
1633.50,0.60,0.77
1634.50,0.10,0.13
1635.50,0.10,0.13
1636.50,6.55,8.38
1637.50,13.00,16.64
1638.50,19.00,24.32
1639.50,21.00,26.88
1640.50,15.20,19.46
1641.50,14.10,18.05
1642.50,13.00,16.64
1643.50,15.80,20.22
1644.50,3.60,4.61
1645.50,0.00,0.00
1646.50,0.00,0.00
1647.50,0.00,0.00
1648.50,0.00,0.00
1649.50,0.00,0.00
1650.50,0.00,0.00
1651.50,0.00,0.00
1652.50,1.80,2.30
1653.50,0.30,0.38
1654.50,0.10,0.13
1655.50,0.10,0.13
1656.50,0.10,0.13
1657.50,0.10,0.13
1658.50,0.00,0.00
1659.50,0.00,0.00
1660.50,0.70,0.90
1661.50,0.20,0.26
1662.50,0.00,0.00
1663.50,0.00,0.00
1664.50,0.00,0.00
1665.50,0.00,0.00
1666.50,0.00,0.00
1667.50,0.00,0.00
1668.50,0.00,0.00
1669.50,0.00,0.00
1670.50,0.00,0.00
1671.50,0.30,0.38
1672.50,0.10,0.13
1673.50,0.00,0.00
1674.50,0.10,0.13
1675.50,0.00,0.00
1676.50,0.60,0.77
1677.50,0.10,0.13
1678.50,0.10,0.13
1679.50,0.00,0.00
1680.50,0.20,0.26
1681.50,0.00,0.00
1682.50,0.00,0.00
1683.50,0.00,0.00
1684.50,0.40,0.51
1685.50,0.00,0.00
1686.50,0.10,0.13
1687.50,0.10,0.13
1688.50,0.20,0.26
1689.50,0.10,0.13
1690.50,0.00,0.00
1691.50,0.00,0.00
1692.50,0.00,0.00
1693.50,0.00,0.00
1694.50,0.00,0.00
1695.50,0.10,0.13
1696.50,0.00,0.00
1697.50,0.00,0.00
1698.50,0.00,0.00
1699.50,0.00,0.00
1700.50,0.10,0.13
1701.50,0.10,0.13
1702.50,0.20,0.26
1703.50,2.00,2.56
1704.50,1.90,2.43
1705.50,3.80,4.86
1706.50,1.00,1.28
1707.50,2.70,3.46
1708.50,0.90,1.15
1709.50,0.50,0.64
1710.50,0.10,0.13
1711.50,0.00,0.00
1712.50,0.00,0.00
1713.50,0.10,0.13
1714.50,0.20,0.26
1715.50,1.90,2.43
1716.50,3.60,4.61
1717.50,15.20,19.46
1718.50,5.10,6.53
1719.50,26.30,33.66
1720.50,18.50,23.68
1721.50,7.40,9.47
1722.50,10.60,13.57
1723.50,8.80,11.26
1724.50,11.70,14.98
1725.50,8.30,10.62
1726.50,33.20,42.50
1727.50,41.50,53.12
1728.50,60.60,77.57
1729.50,8.80,11.26
1730.50,79.90,102.27
1731.50,6.00,7.68
1732.50,12.90,16.51
1733.50,0.00,0.00
1734.50,7.30,9.34
1735.50,22.10,28.29
1736.50,53.90,68.99
1737.50,26.00,33.28
1738.50,25.00,32.00
1739.50,39.70,50.82
1740.50,13.20,16.90
1741.50,27.30,34.94
1742.50,11.70,14.98
1743.50,11.80,15.10
1744.50,10.30,13.18
1745.50,8.80,11.26
1746.50,7.30,9.34
1747.50,35.15,44.99
1748.50,63.00,80.64
1749.50,61.20,72.25
1750.50,48.90,74.45
1751.50,32.00,42.55
1752.50,27.40,42.68
1753.50,18.90,27.39
1754.50,12.30,10.91
1755.50,1.60,8.54
1756.50,6.80,9.10
1757.50,15.90,28.95
1758.50,34.50,42.50
1759.50,46.10,48.18
1760.50,41.50,56.12
1761.50,68.20,76.65
1762.50,38.30,54.59
1763.50,28.10,40.28
1764.50,21.00,32.45
1765.50,1.90,18.67
1766.50,0.30,10.19
1767.50,10.90,33.77
1768.50,67.10,62.35
1769.50,91.50,94.72
1770.50,84.00,89.99
1771.50,67.30,72.84
1772.50,62.40,59.36
1773.50,30.30,31.05
1774.50,16.50,27.33
1775.50,1.80,6.26
1776.50,5.20,17.69
1777.50,25.50,82.58
1778.50,40.90,137.82
1779.50,92.20,112.43
1780.50,63.10,75.71
1781.50,63.80,60.79
1782.50,25.20,34.34
1783.50,20.70,20.36
1784.50,8.60,9.08
1785.50,14.90,21.52
1786.50,47.50,73.98
1787.50,71.50,117.87
1788.50,87.60,116.87
1789.50,68.50,105.45
1790.50,66.50,80.26
1791.50,43.00,59.45
1792.50,21.10,53.61
1793.50,14.40,41.87
1794.50,27.10,36.60
1795.50,19.80,18.99
1796.50,2.30,14.30
1797.50,6.00,5.71
1798.50,0.90,3.63
1799.50,1.90,6.03
1800.50,2.30,12.92
1801.50,48.50,30.36
1802.50,32.60,40.21
1803.50,14.30,38.44
1804.50,22.60,42.38
1805.50,6.20,37.71
1806.50,15.50,25.10
1807.50,0.20,8.97
1808.50,0.60,7.27
1809.50,0.10,2.26
1810.50,0.00,0.00
1811.50,0.10,1.26
1812.50,0.70,4.42
1813.50,3.30,10.88
1814.50,12.20,12.44
1815.50,15.00,31.61
1816.50,28.00,40.90
1817.50,24.70,36.66
1818.50,19.90,26.83
1819.50,19.00,21.40
1820.50,10.66,13.94
1821.50,4.13,5.89
1822.50,3.00,3.57
1823.50,1.24,1.60
1824.50,4.01,7.63
1825.50,14.50,14.82
1826.50,28.74,32.39
1827.50,44.40,44.25
1828.50,57.10,57.29
1829.50,59.28,59.78
1830.50,64.03,63.31
1831.50,39.29,42.69
1832.50,22.60,24.59
1833.50,6.52,7.61
1834.50,9.41,11.82
1835.50,46.34,50.76
1836.50,99.51,108.44
1837.50,109.92,123.48
1838.50,76.82,92.09
1839.50,65.48,76.49
1840.50,47.88,57.72
1841.50,26.61,32.80
1842.50,18.84,21.60
1843.50,8.18,9.58
1844.50,11.86,13.37
1845.50,29.84,35.77
1846.50,43.56,54.91
1847.50,58.90,87.88
1848.50,85.99,139.17
1849.50,83.40,107.52
1850.50,54.85,74.34
1851.50,57.84,71.99
1852.50,49.75,60.40
