#Sunspot latitudes during the Maunder Minimum: a machine-readable catalogue from previous studies
#By Jos・M. Vaquero, Jos・M. Nogales and F. S疣chez-Bajo
#(Submitted to Advances in Space Research)
#
#Abstract.
#The Maunder Minimum (1645-1715 approximately) was a period of very low solar activity and a strong hemispheric asymmetry,
#with most of sunspots in the southern hemisphere. In this paper, two datasets of sunspot latitudes during the Maunder minimum
#have been recovered for the international scientific community. The first dataset is constituted by latitudes of sunspots
#appearing in the catalogue published by Gustav Sper nearly 130 years ago. The second dataset is based on the sunspot
#latitudes displayed in the butterfly diagram for the Maunder Minimum which was published by Ribes and Nesme-Ribes almost
#20 years ago. A machine-readable version of this catalogue with both dataset is available in the Historical Archive of Sunspot
#Observations (http://haso.unex.es).
#
#Description: Date, sunspot latitude, Source

Year,Latitude,Observer
1672.879452,-13,1
1676.491781,-13,1
1676.608219,-6,1
1676.832877,-5.2,1
1676.857534,-4.5,1
1676.961644,-4.9,1
1678.163014,-7,1
1678.39863,-12,1
1684.358904,-11,1
1684.505479,-10.8,1
1684.569863,-9,1
1686.320548,-15,1
1695.371233,-12,1
1700.49726,-3,1
1700.860274,-9.5,1
1701.243836,-12,1
1701.846575,-12,1
1702.352055,-10.5,1
1702.390411,-12,1
1702.987671,-11,1
1703.389041,-16,1
1703.408219,-2,1
1703.479452,-2,1
1703.528767,-19,1
1703.972603,-10.5,1
1704.020548,-7,1
1704.034247,-8.2,1
1704.083562,-9,1
1704.10411,-8,1
1704.110959,-13,1
1704.216438,-10,1
1704.906849,-9,1
1705.043836,-10.5,1
1705.043836,-7.5,1
1705.275342,12.5,1
1705.349315,-14,1
1705.487671,-12,1
1705.519178,-12,1
1705.830137,-3,1
1706.269863,-9,1
1706.424658,-5,1
1706.465753,-12,1
1706.69726,-7,1
1706.919178,-9,1
1707.136986,-6,1
1707.186301,-9,1
1707.227397,-6.5,1
1707.365753,-6.5,1
1707.724658,-5,1
1707.871233,-12.5,1
1707.876712,-13,1
1707.884932,16,1
1707.956164,-13,1
1708.620548,-7,1
1708.687671,-5,1
1708.880822,-4,1
1708.89863,-6.5,1
1708.916438,-10,1
1709.021918,-16,1
1709.086301,-11,1
1709.093151,-6,1
1709.652055,-7,1
1709.867123,-6,1
1710.824658,-12.5,1
1671.573919,-0.3,2
1672.765938,-14.9,2
1676.520351,9.9,2
1676.601609,-8.7,2
1676.614005,-3.9,2
1676.737958,-6,2
1676.996883,-6,2
1677.307455,-11.1,2
1677.788808,-0.2,2
1678.047733,-0.2,2
1684.428582,-11,2
1684.491936,-11.6,2
1684.619332,-12.4,2
1684.624841,-10.2,2
1684.688884,-10.5,2
1686.524084,-1.8,2
1686.553695,-15.3,2
1686.555072,-14.8,2
1686.954478,-10.6,2
1686.955167,-10.3,2
1688.584466,-6.1,2
1688.58722,-5,2
1688.769708,-9.5,2
1688.772462,-8.5,2
1689.03483,-7.2,2
1689.083034,-13.5,2
1689.094052,-9.3,2
1689.414954,-10.4,2
