Year,G,S2,S1
1749,7.801276234,8.363819938,7.239870987
1750,8.420249639,9.219902982,7.603985049
1751,4.914421804,5.375496406,4.448501061
1752,4.534930605,5.123114739,3.945127818
1753,3.641035999,4.695007582,2.586519914
1754,1.279815415,1.40035021,1.158047698
1755,0.911413067,0.989644752,0.834231359
1756,1.124980232,1.216424843,1.032789728
1757,2.523666033,2.696132185,2.354579469
1758,4.194954719,4.825356232,3.561970728
1759,5.584954334,6.953752522,4.205734054
1760,5.97385258,6.66000274,5.297008909
1761,7.404761974,7.696803314,7.108936252
1762,6.512767834,6.865770284,6.1617231
1763,4.871894897,5.244336567,4.498431113
1764,3.9165041,4.248655314,3.585946325
1765,1.748158827,2.097528255,1.394573289
1766,1.198239828,1.403959452,0.994130375
1767,4.283095527,4.459071712,4.106850304
1768,7.267210872,7.453584859,7.084046072
1769,9.256298769,9.522042149,8.99122547
1770,8.919323403,9.141855772,8.700990808
1771,7.609717111,7.878239806,7.342949617
1772,6.639600484,6.8965007,6.385784891
1773,3.796269437,3.972673275,3.621240342
1774,3.632358998,3.839129098,3.42447762
1775,1.378373877,1.485712491,1.26854202
1776,1.945955045,2.16579226,1.730844978
1777,8.940538776,10.30920896,7.557657846
1778,10.36720195,11.40810337,9.340466182
1779,11.03235044,12.07762025,9.970757698
1780,8.362294329,9.48211751,7.223314637
1781,7.921646297,8.947970019,6.884872171
1782,4.075411208,5.157431264,2.98673772
1783,3.802383561,4.823360319,2.784418206
1784,1.765850403,2.605933204,0.919745104
1785,2.513983112,3.096696462,1.916363211
1786,7.860789631,8.639823645,7.088890042
1787,9.516321105,10.38872482,8.646000115
1788,9.833919089,10.69023427,8.991667037
1789,8.323722874,9.633852542,7.019204063
1790,7.505804317,9.013951261,6.008360867
1791,5.741310755,6.747056898,4.733935137
1792,5.990264065,7.734130657,4.228227347
1793,3.111559336,4.445217684,1.775175912
1794,3.825210153,4.371888809,3.27932945
1795,1.857770097,2.582145961,1.1350147
1796,1.772721151,3.236581679,0.222215219
1797,1.343748956,1.984899653,0.702814281
1798,0.943846988,1.505745128,0.38354238
1799,0.960608436,1.320398926,0.596218755
1800,2.58232553,2.919247827,2.25414028
1801,4.642522375,4.750817312,4.534761581
1802,3.821229759,3.993427219,3.649383672
1803,2.520829713,2.654624038,2.384185354
1804,2.52294942,2.676903382,2.36647072
1805,2.795626993,2.966407768,2.624395519
1806,1.547674647,1.794240814,1.300276756
1807,3.246017851,3.824700101,2.653680601
1808,1.549104536,2.014678356,1.087793102
1809,0.975064903,1.186341796,0.767583508
1810,0.398213542,0.704160616,0.10241844
1811,-99,-99,-99
1812,1.19393113,1.480068236,0.907604728
1813,2.063167848,2.400099786,1.731761805
1814,3.976098572,4.954298676,3.006250119
1815,-99,-99,-99
1816,4.318658151,4.788949991,3.843823021
1817,4.068488459,4.363039651,3.764810553
1818,2.295195565,2.474649765,2.115882934
1819,2.382385244,2.599606314,2.16735882
1820,1.937968516,2.144115487,1.730218185
1821,3.648705589,4.240892518,3.059350247
1822,3.057609088,3.66904418,2.445581314
1823,1.379730714,1.64663749,1.12362038
1824,1.793255585,1.941542566,1.645576446
1825,1.905111135,1.988031064,1.825153557
1826,2.582299463,2.630053419,2.535151951
1827,3.69423932,3.745919021,3.64314338
1828,4.864024591,4.927349041,4.800942662
1829,4.909703032,4.969802419,4.849358632
1830,5.322511391,5.386234723,5.259092388
1831,3.670392607,3.7316037,3.609247729
1832,2.131657495,2.173963016,2.088363662
1833,0.622337996,0.653993689,0.590857291
1834,0.90879612,0.942006401,0.875703858
1835,3.774060243,3.846668051,3.702275653
1836,7.209357188,7.285338493,7.133850912
1837,7.848241976,7.927584912,7.768168863
1838,5.980377602,6.041808514,5.918837202
1839,5.038615251,5.097907387,4.979756987
1840,3.865037098,3.911529047,3.81853763
1841,2.320942481,2.362980423,2.278669334
1842,1.598334843,1.64165319,1.55540607
1843,0.74243703,0.776799071,0.70879603
1844,1.044618946,1.079010964,1.010740659
1845,2.479963947,2.524018748,2.436133548
1846,3.489787782,3.541850777,3.438358226
1847,4.737756108,4.82207668,4.653097936
1848,6.704472826,6.803616819,6.606813498
1849,7.084262882,7.215509765,6.949527057
1850,5.186073259,5.293284231,5.079140956
1851,5.421981275,5.531731192,5.312852138
1852,4.470161283,4.57539404,4.364695031
1853,3.383028725,3.470418581,3.295828586
1854,1.711849302,1.783785217,1.641098955
1855,0.738240526,0.78698849,0.690176719
1856,0.42004687,0.457972237,0.382237779
1857,1.724353869,1.775872689,1.673577578
1858,4.028279487,4.106355991,3.950079646
1859,6.439290721,6.544851498,6.333353679
1860,7.812455899,7.950137394,7.674279724
1861,6.555518656,6.684023538,6.426385959
1862,4.89620879,4.996607674,4.795097946
1863,3.936810863,4.044874863,3.830660721
1864,3.63007751,3.72236987,3.537671621
1865,2.309710704,2.378520715,2.240700365
1866,1.642923134,1.696677167,1.58931913
1867,1.069620911,1.121061022,1.018063899
1868,3.622807097,3.719072382,3.528143186
1869,6.764497028,6.87666032,6.652740299
1870,9.78891763,9.925076165,9.655162052
1871,8.877729403,9.010577033,8.743847038
1872,7.943370972,8.078475251,7.810659954
1873,5.517284338,5.627478495,5.40501924
1874,3.281920484,3.395368511,3.166379885
1875,1.646114258,1.710385979,1.580635304
1876,1.145522045,1.200855629,1.090529244
1877,1.097198048,1.150871595,1.043779743
1878,0.530134922,0.573235796,0.487328745
1879,0.677119371,0.724160053,0.630492365
1880,2.6812348,2.76084464,2.602446914
1881,4.359253482,4.45947889,4.259497537
1882,4.783538386,4.881099194,4.685027889
1883,5.152115888,5.263302615,5.041410104
1884,5.927649121,6.043752368,5.811834003
1885,4.542581946,4.63935929,4.445965776
1886,2.357199406,2.427450115,2.287442041
1887,1.431233177,1.48663295,1.375476994
1888,0.999174729,1.045687692,0.953066879
1889,0.75327087,0.79911055,0.707841576
1890,0.865386674,0.91300836,0.818720327
1891,3.635684761,3.72531473,3.546153051
1892,6.219828403,6.335413135,6.102444778
1893,7.778490679,7.913290015,7.648443395
1894,7.702482795,7.815711816,7.591735141
1895,6.186091877,6.280754647,6.091218972
1896,3.839259151,3.920307152,3.757788842
1897,2.933874878,3.010785963,2.858424726
1898,2.542796891,2.611951957,2.472966749
